,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,no,no2,nox,o3,pm10,pm2.5,so2,data
79,2011-12-04,NA,NA,567.083.333.333.333,NA,NA,128.791.666.666.667,15.6,11.6,NA,128,92536,138.324.543.961.269,NA,04.08,19.88,25.67,NA,NA,NA,NA,2011-12-04
80,2011-12-05,NA,NA,617.916.666.666.667,NA,NA,130.875,16.6,9.6,NA,1496,683219,218.963.465.594.487,NA,11.58,28.04,45.38,NA,NA,NA,NA,2011-12-05
81,2011-12-06,NA,NA,639.166.666.666.667,NA,NA,125.666.666.666.667,16.2,9.8,NA,145,102096,142.023.193.856.762,NA,15.58,32.33,55.79,NA,NA,NA,NA,2011-12-06
82,2011-12-07,NA,NA,609.583.333.333.333,NA,NA,12.15,16,9.4,NA,1427,657906,216.900.286.667.092,NA,15.79,40.12,64.08,NA,NA,NA,NA,2011-12-07
83,2011-12-08,NA,NA,752.083.333.333.333,NA,NA,117.916.666.666.667,16.1,9,NA,118,81089,145.519.120.965.852,NA,27.29,37.17,78.67,NA,NA,NA,NA,2011-12-08
84,2011-12-09,NA,NA,784.166.666.666.667,NA,NA,107.708.333.333.333,15.1,6.7,NA,1272,627872,202.589.062.738.902,NA,63.04,48.33,144.33,NA,NA,NA,NA,2011-12-09
85,2011-12-10,NA,NA,73.375,NA,NA,107.166.666.666.667,14.2,8.1,NA,237,163146,145.268.655.069.692,NA,19.29,36.58,65.92,NA,NA,NA,NA,2011-12-10
86,2011-12-11,NA,NA,74.125,NA,NA,970.416.666.666.667,13.8,6.6,NA,145,108084,13.415.491.654.639,NA,24.54,34.92,72.12,NA,NA,NA,NA,2011-12-11
87,2011-12-12,NA,NA,66.75,NA,NA,105.041.666.666.667,15.4,7.2,NA,1761,852621,206.539.599.657.996,NA,20.38,30.67,61.42,NA,NA,NA,NA,2011-12-12
88,2011-12-13,NA,NA,597.083.333.333.333,NA,NA,120.041.666.666.667,16.1,6.8,NA,1300,674247,192.807.680.271.473,NA,36.86,46.14,102.14,NA,NA,NA,NA,2011-12-13
89,2011-12-14,NA,NA,590.833.333.333.333,NA,NA,145.083.333.333.333,18.9,12.1,NA,1205,665515,181.062.785.962.751,NA,22,44.38,78.12,NA,NA,NA,NA,2011-12-14
90,2011-12-15,NA,NA,509.166.666.666.667,NA,NA,126.708.333.333.333,15.3,10.2,NA,1096,610242,179.600.879.651.024,NA,11.79,36.21,53.75,NA,NA,NA,NA,2011-12-15
91,2011-12-16,NA,NA,459.166.666.666.667,NA,NA,141.791.666.666.667,17.2,11.6,NA,1052,572096,183.885.222.060.633,NA,11.92,35.42,53.33,NA,NA,NA,NA,2011-12-16
92,2011-12-17,NA,NA,492.083.333.333.333,NA,NA,10.3125,12.8,8.6,NA,223,161173,138.360.643.532.105,NA,3.92,15.25,20.71,NA,NA,NA,NA,2011-12-17
93,2011-12-18,NA,NA,405.833.333.333.333,NA,NA,886.666.666.666.667,12.6,6.2,NA,110,75248,146.183.287.263.449,NA,5.92,25.71,34.46,NA,NA,NA,NA,2011-12-18
94,2011-12-19,NA,NA,455.416.666.666.667,NA,NA,779.583.333.333.333,10.9,4,NA,1549,780298,198.513.901.099.324,NA,23.88,40.75,76.88,NA,NA,NA,NA,2011-12-19
95,2011-12-20,NA,NA,611.666.666.666.667,NA,NA,974.583.333.333.333,13.3,6.4,NA,1222,661136,184.833.377.701.411,NA,32.92,45.33,95.29,NA,NA,NA,NA,2011-12-20
96,2011-12-21,NA,NA,770.416.666.666.667,NA,NA,102.708.333.333.333,15.1,6.6,NA,1120,626043,178.901.449.261.472,NA,108.58,62.33,228.21,NA,NA,NA,NA,2011-12-21
97,2011-12-22,NA,NA,61.5,NA,NA,132.125,17.1,9.6,NA,968,562793,171.999.296.366.515,NA,40.59,46.91,108.95,NA,NA,NA,NA,2011-12-22
98,2011-12-23,NA,NA,69.5,NA,NA,106.541.666.666.667,15,7.1,NA,966,505145,191.232.220.451.554,NA,28.88,44.12,87.67,NA,NA,NA,NA,2011-12-23
99,2011-12-24,NA,NA,629.583.333.333.333,NA,NA,112.083.333.333.333,14.8,8.2,NA,223,155141,143.740.210.518.174,NA,12.12,32.58,50.5,NA,NA,NA,NA,2011-12-24
100,2011-12-25,NA,NA,596.666.666.666.667,NA,NA,856.666.666.666.667,12.7,5.5,NA,115,73334,156.816.756.211.307,NA,25.79,43.17,82.5,NA,NA,NA,NA,2011-12-25
101,2011-12-26,NA,NA,635.833.333.333.333,NA,NA,7.825,12.2,5.2,NA,102,68815,148.223.497.783.913,NA,40.83,48.29,110.67,NA,NA,NA,NA,2011-12-26
102,2011-12-27,NA,NA,60.625,NA,NA,9.375,15.3,3.8,NA,1386,707218,1.959.791.747.382,NA,33.96,50.42,102,NA,NA,NA,NA,2011-12-27
103,2011-12-28,NA,NA,666.666.666.666.667,NA,NA,843.333.333.333.333,13.5,4.1,NA,1121,602697,185.997.275.579.603,NA,52.79,60.38,140.67,NA,NA,NA,NA,2011-12-28
104,2011-12-29,NA,NA,564.583.333.333.333,NA,NA,935.416.666.666.667,13.6,5.4,NA,1228,670541,183.135.706.839.701,NA,39.83,53.74,114.09,NA,NA,NA,NA,2011-12-29
105,2011-12-30,NA,NA,467.083.333.333.333,NA,NA,10.5,14.4,6,NA,1007,541662,185.909.293.987.764,NA,14.29,39.46,61.08,NA,NA,NA,NA,2011-12-30
106,2011-12-31,NA,NA,56.875,NA,NA,123.833.333.333.333,16.8,9.6,NA,206,153069,134.579.830.011.302,NA,8.96,30.62,43.92,NA,NA,NA,NA,2011-12-31
107,2012-01-01,NA,NA,72.5,NA,NA,11.7125,15.6,8,NA,118,80462,146.653.078.471.825,NA,22.46,39.83,73.54,NA,NA,NA,NA,2012-01-01
108,2012-01-02,NA,NA,571.666.666.666.667,NA,NA,126.666.666.666.667,16.3,7.8,NA,1444,795223,181.584.285.162.778,NA,21.08,39.67,71.58,NA,NA,NA,NA,2012-01-02
109,2012-01-03,NA,NA,562.916.666.666.667,NA,NA,104.541.666.666.667,13.8,7.3,NA,1206,718523,167.844.313.960.722,NA,27.08,49.25,90.58,NA,NA,NA,NA,2012-01-03
110,2012-01-04,NA,NA,631.666.666.666.667,NA,NA,112.333.333.333.333,16.1,8.5,NA,1114,646980,172.184.611.579.956,NA,19.46,34.79,64.08,NA,NA,NA,NA,2012-01-04
111,2012-01-05,NA,NA,489.583.333.333.333,NA,NA,121.041.666.666.667,15.5,9.6,NA,837,480117,174.332.506.451.552,NA,22.46,36.96,70.79,NA,NA,NA,NA,2012-01-05
112,2012-01-06,NA,NA,62.375,NA,NA,130.041.666.666.667,15.6,9.6,NA,121,98557,122.771.594.102.905,NA,12.58,32.25,51.08,NA,NA,NA,NA,2012-01-06
113,2012-01-07,NA,NA,559.166.666.666.667,NA,NA,967.916.666.666.667,13.9,6.8,NA,285,197910,144.004.850.689.707,NA,27.88,45.08,87.46,NA,NA,NA,NA,2012-01-07
114,2012-01-08,NA,NA,623.333.333.333.333,NA,NA,990.416.666.666.667,13.6,6.7,NA,141,111291,126.694.880.987.681,NA,12.71,30.83,49.92,NA,NA,NA,NA,2012-01-08
115,2012-01-09,NA,NA,721.666.666.666.667,NA,NA,886.666.666.666.667,14.1,5,NA,1481,848692,174.503.824.709.082,NA,46.75,48.58,119.83,NA,NA,NA,NA,2012-01-09
116,2012-01-10,NA,NA,732.083.333.333.333,NA,NA,872.916.666.666.667,13.3,4.8,NA,1117,666588,167.569.773.233.242,NA,59.21,53.38,143.67,NA,NA,NA,NA,2012-01-10
117,2012-01-11,NA,NA,78.625,NA,NA,852.916.666.666.667,13.1,5,NA,1090,668006,163.172.187.076.164,NA,90.5,58.75,196.79,NA,NA,NA,NA,2012-01-11
